address,balance,lifetime,tx_in,tx_out,investment_in,investment_to_contract/tx_in,payment_from_contract/tx_out,#addresses_paying_contract,#addresses_paid_by_contract,mean_v1,sdev_v1,mean_v2,sdev_v2,paid_rate,paid_one,percentage_some_tx_in,sdev_tx_in,percentage_some_tx_out,sdev_tx_out,known_rate,owner_gets_eth_Wo_investing,skew_v1,N_maxpayment,skew_v2,target,normalized_address,index
0xa38feb7b0aaad949a1b99ff516d4e3ea2e317bbf,0.0,0,49,135,48,0.9796,1.0,11,10,7.909091,14.462834,0.0,0.450535,2.8125,0.9091,1.0,0.0,1.0,0.0,1.0,0,2.913091,57,1.102654,1,a38feb7b0aaad949a1b99ff516d4e3ea2e317bbf,42330108.0
0x020522bf9b8ed6ff41e2fa6765a17e20e2767d64,400.00001,804,27,58,25,0.9259,1.0,22,13,1.5,2.726136,-18.181819,119.764724,2.32,0.5909,0.005,6.759253,0.0025,23.0,1.0,0,0.918651,10,1.786437,1,020522bf9b8ed6ff41e2fa6765a17e20e2767d64,122069.0
0x020e0638aa7d98b40d2a3a7ebd37ebdfc5cba2fd,0.006,37,442,474,422,0.9548,1.0,51,47,1.019608,2.986835,-0.000117,0.334815,1.1232,0.9216,0.1892,113.512024,0.1622,130.055117,1.0,0,3.297488,49,2.39881,1,020e0638aa7d98b40d2a3a7ebd37ebdfc5cba2fd,28719.0
0x0217495d71d7246205bc1b1039dad814d0c0c192,0.0,1,144,711,135,0.9375,1.0,62,41,8.727273,32.648516,0.0,0.838927,5.2667,0.5968,2.0,71.0,1.0,0.0,0.9024,0,3.560829,135,-0.48809,1,0217495d71d7246205bc1b1039dad814d0c0c192,42316247.0
0x032747313c4e914b5fce356ab8dc4df551972dcd,0.0,119,40,2,1,0.025,1.0,1,1,1.0,0.0,0.0,0.0,2.0,1.0,0.0168,14.0,0.0084,0.0,1.0,0,0.0,2,0.0,1,032747313c4e914b5fce356ab8dc4df551972dcd,2282994.0
0x03f69791513022d8b67facf221b98243346df7cb,0.0,1,51,172,50,0.9804,1.0,29,19,3.935484,13.085169,0.0,1.76024,3.44,0.5862,2.0,12.5,2.0,47.0,0.8947,0,2.973215,50,0.088219,1,03f69791513022d8b67facf221b98243346df7cb,42318933.0
0x05914192cbbaae87a910f79e012b4091a39cc85c,0.07575,36,73,41,36,0.4932,1.0,18,21,0.227273,1.443853,-0.003443,0.160414,1.1389,0.9444,0.5556,2.743629,0.4167,1.339983,0.7619,1,2.88023,6,-0.198755,1,05914192cbbaae87a910f79e012b4091a39cc85c,125161.0
0x05d7c87cf85de4103635ec585b1e36cf240837b4,0.0,1,119,184,117,0.9832,1.0,28,21,2.392857,5.219054,0.0,1.603919,1.5726,0.75,2.0,34.5,2.0,54.0,1.0,0,1.969845,36,0.743277,1,05d7c87cf85de4103635ec585b1e36cf240837b4,42319192.0
0x073d7a1d115181ae857614650ddea925cc499a72,0.0,0,3,3,1,0.3333,1.0,1,3,0.666667,0.471405,0.0,0.212132,3.0,1.0,1.0,0.0,1.0,0.0,0.3333,0,-1.732051,1,-1.732051,1,073d7a1d115181ae857614650ddea925cc499a72,42487255.0
0x0ad03236f64e8db6c42dfa096264c26ce57c87ea,0.0,1,72,198,71,0.9861,1.0,18,16,7.055556,16.307709,0.0,0.2124,2.7887,0.8889,2.0,28.0,2.0,76.0,1.0,0,3.607309,72,-2.814419,1,0ad03236f64e8db6c42dfa096264c26ce57c87ea,42321985.0
0x0d35e5b6b91254fb405e620448c8760fd10614ae,0.0,0,2,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0d35e5b6b91254fb405e620448c8760fd10614ae,42324356.0
0x0f7466e713b582630504dd39a72f6e15d2d052a9,0.0,0,3,9,2,0.6667,1.0,2,5,1.4,0.8,0.0,0.002153,4.5,1.0,1.0,0.0,1.0,0.0,0.4,0,-1.257788,2,-1.675783,1,0f7466e713b582630504dd39a72f6e15d2d052a9,42486907.0
0x11765d5753943fd9a764b8d773319fcfe864b021,0.0,0,20,17,13,0.65,1.0,7,7,0.5,0.866025,0.0,0.034724,1.3077,0.8571,1.0,0.0,1.0,0.0,1.0,1,0.0,5,-0.106503,1,11765d5753943fd9a764b8d773319fcfe864b021,499546.0
0x124374f24bff86cf043e31344077ece93bd46b57,0.002123,2,17,19,16,0.9412,1.0,4,5,0.6,1.74356,-0.000425,0.010558,1.1875,1.0,1.5,6.599663,1.5,6.182412,0.8,0,1.943959,8,-1.957925,1,124374f24bff86cf043e31344077ece93bd46b57,1095324.0
0x12905fa36a703d6ef75cb2198f9165192b0c5ae5,0.0,187,207,3,5,0.0242,1.0,3,2,-0.666667,0.471405,0.0,1.029404,0.6,0.6667,0.0107,95.5,0.0053,0.0,1.0,0,1.732051,2,1.705718,1,12905fa36a703d6ef75cb2198f9165192b0c5ae5,912701.0
0x13ddd5c273a027608a42727a46f8250011645166,2.142697,26,164,157,156,0.9512,1.0,26,25,0.038462,2.10276,-0.082411,0.966389,1.0064,0.9615,0.3077,27.258026,0.2692,28.459782,1.0,0,4.191123,31,-3.264653,1,13ddd5c273a027608a42727a46f8250011645166,81673.0
0x174650d5ee33a1292cccf5d3fd1c0684a1b7419b,0.0,0,4,1,2,0.5,1.0,2,1,-0.333333,0.942809,0.0,1.779513,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0,1.732051,1,1.630059,1,174650d5ee33a1292cccf5d3fd1c0684a1b7419b,1632564.0
0xe61953e8c1b4d5eeec29d79f95aa232e8ec537be,0.0,0,5,3,3,0.6,1.0,3,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0.0,1,0.0,1,e61953e8c1b4d5eeec29d79f95aa232e8ec537be,340754.0
0x19b115365671a818ed62aa326d91e6e4713f8900,0.0,7,22,44,18,0.8182,1.0,11,6,2.166667,5.398045,0.0,0.617364,2.4444,0.4545,0.7143,6.8,0.4286,17.913372,1.0,1,2.352655,18,0.419674,1,19b115365671a818ed62aa326d91e6e4713f8900,42335288.0
0x1b05e6557768650c0df0c9377c32c621ac1ccf17,1.712878,1323,437,10,123,0.2815,1.0,30,4,-3.645161,4.344432,-0.055254,0.739425,0.0813,0.1,0.0045,114.259087,0.0015,2.0,1.0,0,-2.92204,6,3.477298,1,1b05e6557768650c0df0c9377c32c621ac1ccf17,110021.0
0x1b442a27fc37b5527ecd5c5ead301dac1638810d,0.01,16,20,13,11,0.55,0.9231,3,3,0.333333,1.885618,-0.003333,0.158367,1.0909,1.0,0.5,1.322876,0.375,0.372678,1.0,0,1.732051,9,0.310017,1,1b442a27fc37b5527ecd5c5ead301dac1638810d,1816359.0
0xb7438d9e851aaff3a86a8bdb060285872a32f558,0.0,15,7,2,5,0.7143,1.0,5,2,-0.5,0.763763,0.0,0.003055,0.4,0.2,0.4,0.372678,0.0667,0.0,1.0,1,1.536722,1,1.536722,1,b7438d9e851aaff3a86a8bdb060285872a32f558,691527.0
0xde22069cad238979bd436d5ea0d60475e5e7af06,0.0,1,12,2,10,0.8333,1.0,10,2,-0.727273,0.616575,0.0,0.009496,0.2,0.1,2.0,4.0,1.0,0.0,1.0,1,2.420428,1,2.707626,1,de22069cad238979bd436d5ea0d60475e5e7af06,412922.0
0x1cad99dc4770146e95d17307a4df427c7c73827c,0.003,0,5,2,4,0.8,1.0,3,2,-0.5,0.866025,-0.00075,0.000456,0.5,0.3333,1.0,0.0,1.0,0.0,1.0,1,2.0,1,1.992258,1,1cad99dc4770146e95d17307a4df427c7c73827c,1923572.0
0x1d6907245c30e7ddab42dc42523e97687c149345,0.01,0,2,0,1,0.5,0.0,1,0,-1.0,0.0,-0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,1d6907245c30e7ddab42dc42523e97687c149345,43564103.0
0x39de05db56c42041f1c378c72ddd0161ef91070b,0.0,0,25,2,4,0.16,1.0,1,1,-2.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0,0.0,2,0.0,1,39de05db56c42041f1c378c72ddd0161ef91070b,12909052.0
0x20442f9439c874c02e8451e03d6235ee27ee3afe,0.0,0,2,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,20442f9439c874c02e8451e03d6235ee27ee3afe,20681070.0
0x213d2b0498d7eef3151aa9af2e5c4eb8674ecce5,0.0,169,189,2,2,0.0106,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0118,90.5,0.0059,0.0,1.0,0,0.0,2,0.0,1,213d2b0498d7eef3151aa9af2e5c4eb8674ecce5,2278663.0
0x21e3a126b222be9196c8f826d9f9679ee26bbae7,0.0,218,221,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,108.5,0.0,0.0,0.0,0,0.0,0,0.0,1,21e3a126b222be9196c8f826d9f9679ee26bbae7,1425818.0
0x502b3fce17009ea60269d2553553447e74f88445,0.0,217,220,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,109.0,0.0,0.0,0.0,0,0.0,0,0.0,1,502b3fce17009ea60269d2553553447e74f88445,12795572.0
0xc998f7ab8949ed3d807d54b079e4c6a9878c74ab,0.0,218,222,1,1,0.0045,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0092,108.0,0.0046,0.0,1.0,0,0.0,1,0.0,1,c998f7ab8949ed3d807d54b079e4c6a9878c74ab,1254422.0
0x810a49b3ca004243044444fd7380d9d8e22e3875,0.0,218,223,2,2,0.009,1.0,2,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0092,107.5,0.0046,0.0,1.0,0,0.0,1,0.0,1,810a49b3ca004243044444fd7380d9d8e22e3875,912412.0
0xba8ee7ba243a363d1995812121bc3fdfa6052785,0.15,218,222,0,1,0.0045,0.0,1,0,-1.0,0.0,-0.15,0.0,0.0,0.0,0.0092,108.0,0.0,0.0,0.0,0,0.0,0,0.0,1,ba8ee7ba243a363d1995812121bc3fdfa6052785,2276768.0
0x243ce58ad1d2996399b0c110f013901d2f50243f,0.0,2,301,762,299,0.9934,1.0,78,40,5.935897,35.945949,-0.0,2.28147,2.5485,0.5128,1.5,86.734589,1.5,240.105532,1.0,0,7.436114,302,1.320463,1,243ce58ad1d2996399b0c110f013901d2f50243f,42315874.0
0x258e30f1ff095f738545ac72d3009d94cef2e8b3,0.0,42,5,2,3,0.6,1.0,2,2,-0.5,0.5,0.0,0.0097,0.6667,1.0,0.0476,0.5,0.0238,0.0,1.0,0,0.0,1,0.0,1,258e30f1ff095f738545ac72d3009d94cef2e8b3,42534909.0
0x25cdfe617d58f348d10d8efc6d61032ed1e1ce7a,0.0,179,197,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,97.5,0.0,0.0,0.0,0,0.0,0,0.0,1,25cdfe617d58f348d10d8efc6d61032ed1e1ce7a,12796749.0
0x27c0afc960fbeab1c6bba6be3837d40e948b2250,0.0,214,234,6,7,0.0299,1.0,3,4,-0.25,1.47902,0.0,0.309597,0.8571,1.0,0.014,103.289238,0.0093,1.0,1.0,1,0.752837,2,-0.245845,1,27c0afc960fbeab1c6bba6be3837d40e948b2250,912461.0
0x1107bd232640434008b8ce1fd058837e141f754b,0.0,214,231,4,4,0.0173,1.0,3,3,0.0,1.0,0.0,0.136931,1.0,0.6667,0.014,103.951912,0.0093,0.0,1.0,1,0.0,2,0.632456,1,1107bd232640434008b8ce1fd058837e141f754b,653407.0
0xa2c5718723161f48fe1be09bee40a8fa347df520,0.0255,57,48,42,44,0.9167,1.0,14,14,-0.133333,0.498888,-0.0017,0.026971,0.9545,0.9286,0.3509,1.714643,0.3509,1.135782,1.0,1,-0.281962,6,-1.667643,1,a2c5718723161f48fe1be09bee40a8fa347df520,324986.0
0x2c2e3baa2191cf325a28a01ff42340f2ae677572,0.0,169,417,155,216,0.518,1.0,31,26,-1.967742,4.934957,0.0,0.265705,0.7176,0.8387,0.142,37.96469,0.0888,12.086724,1.0,0,1.607106,27,1.155024,1,2c2e3baa2191cf325a28a01ff42340f2ae677572,52701.0
0x31e13882c45c1023d9b16c3794c1a780bb6cb88d,0.0,169,251,36,45,0.1793,1.0,10,10,-0.9,2.071232,0.0,1.57668,0.8,1.0,0.0533,56.177189,0.0237,5.196152,1.0,0,2.563999,12,-1.671261,1,31e13882c45c1023d9b16c3794c1a780bb6cb88d,272641.0
0x2cbe1c74b77bf46a61759f3ed107b3e2612feddd,0.0,0,2,4,1,0.5,1.0,1,4,0.75,0.433013,0.0,0.000346,4.0,1.0,1.0,0.0,1.0,0.0,0.25,0,-2.0,1,-2.0,1,2cbe1c74b77bf46a61759f3ed107b3e2612feddd,42669947.0
0x2cdb253c0e44a284f6174ae90b5ea247e6cf3649,0.0,1,317,574,310,0.9779,1.0,135,112,1.955556,4.787123,0.0,1.061734,1.8516,0.8296,2.0,156.5,2.0,286.0,1.0,0,5.264079,47,0.059213,1,2cdb253c0e44a284f6174ae90b5ea247e6cf3649,42314964.0
0x2d6cb85e108326a8bbb72ca6f3c9f0f3c7f53638,0.0,247,6,2,1,0.1667,0.5,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0121,1.414214,0.0081,0.0,1.0,0,0.0,1,0.0,1,2d6cb85e108326a8bbb72ca6f3c9f0f3c7f53638,8772642.0
0x2dad35ca7d3e3577f5c4160f99940809a9f2ed91,0.0,4,279,748,278,0.9964,1.0,78,36,6.025641,32.04403,-0.0,2.409102,2.6906,0.4615,1.0,117.926619,0.75,347.662991,1.0,0,8.017278,288,-1.341005,1,2dad35ca7d3e3577f5c4160f99940809a9f2ed91,42315953.0
0x30c16da96ffa1eee79d8a9db23b7204fed75d549,0.0,169,215,1,1,0.0047,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0118,105.5,0.0059,0.0,1.0,0,0.0,1,0.0,1,30c16da96ffa1eee79d8a9db23b7204fed75d549,1910036.0
0x72a68fb6d91ed8dc47b564e088e518c6d4a6ff44,0.0,247,108,80,80,0.7407,1.0,19,43,0.0,8.798244,0.0,1976.286627,1.0,0.9474,0.1741,2.653406,0.1296,2.727178,0.4186,0,-3.035314,31,-4.163225,1,72a68fb6d91ed8dc47b564e088e518c6d4a6ff44,73440.0
0x86a2f548baf9da7e989f5f697f339d61de259b72,0.0,0,8,9,6,0.75,0.8889,4,3,0.5,2.061553,0.0,1.258968,1.3333,0.75,1.0,0.0,1.0,0.0,1.0,0,1.779179,6,0.328102,1,86a2f548baf9da7e989f5f697f339d61de259b72,1254865.0
0x34f033eeaa33a941d00859106642d57b8b538e74,0.0,185,202,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,100.0,0.0,0.0,0.0,0,0.0,0,0.0,1,34f033eeaa33a941d00859106642d57b8b538e74,12796667.0
0x3570778f291120940119b5e4f867dab5488add4d,0.001,4,2,0,1,0.5,0.0,1,0,-1.0,0.0,-0.001,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,3570778f291120940119b5e4f867dab5488add4d,18927275.0
0x36b5766f8f0b674a2b3dcb7df5fd7a5cb68c073b,3.0,0,3,0,2,0.6667,0.0,1,0,-2.0,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,36b5766f8f0b674a2b3dcb7df5fd7a5cb68c073b,6088133.0
0x37c443249ed98c6d3871edf5c3a44f20dac2d940,0.0,0,2,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,37c443249ed98c6d3871edf5c3a44f20dac2d940,6042250.0
0x3d86cc838649b072510f3da56a31f30461cf66d2,0.0,1877,254,4,6,0.0236,1.0,5,3,-0.333333,1.105542,0.0,0.097491,0.6667,0.4,0.0016,114.805149,0.0011,0.0,1.0,1,1.951708,2,1.456942,1,3d86cc838649b072510f3da56a31f30461cf66d2,831856.0
0x3dc4d22741c55b40f5f2445ec4e3afb12dd14ebb,0.005,3,12,1,10,0.8333,1.0,7,1,-1.285714,1.160577,-0.000714,0.036492,0.1,0.1429,0.6667,4.0,0.3333,0.0,1.0,0,-2.103091,1,2.153311,1,3dc4d22741c55b40f5f2445ec4e3afb12dd14ebb,691979.0
0x3e3ee486285814cf3899b2d67a1f3176316efd66,0.0,0,6,2,4,0.6667,1.0,4,1,-0.5,0.866025,0.0,0.105397,0.5,0.25,1.0,0.0,1.0,0.0,1.0,0,2.0,2,1.963561,1,3e3ee486285814cf3899b2d67a1f3176316efd66,705129.0
